listing_name,address,nickname,property_type,bedrooms,bathrooms,accommodates,active,month,airbnb_revenue,airbnb_bookings,airbnb_nights,vrbo_revenue,vrbo_bookings,vrbo_nights,booking_com_revenue,booking_com_bookings,booking_com_nights,direct_revenue,direct_bookings,direct_nights,other_revenue,other_bookings,other_nights,total_revenue,total_bookings,total_nights
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2025-03,3840.23,3,14,2149.57,2,9,0.0,0,0,0.0,0,0,1433.89,2,6,7423.69,7,29
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2025-04,2861.11,2,14,3814.85,2,12,0.0,0,0,0.0,0,0,766.96,1,3,7442.92,5,29
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2025-05,0.0,0,0,3865.43,3,11,305.0,1,2,0.0,0,0,1917.3,2,11,6087.73,6,24
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2025-06,2140.89,1,7,6157.67,3,21,0.0,0,0,204.51,1,1,0.0,0,0,8503.07,5,29
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2025-07,0.0,0,0,4810.06,4,14,0.0,0,0,0.0,0,0,1252.08,2,6,6062.14,6,20
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2025-08,1273.61,3,6,2474.65,2,11,0.0,0,0,0.0,0,0,752.6,1,5,4500.86,6,22
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2025-09,1919.63,2,8,0.0,0,0,0.0,0,0,170.23,1,1,1704.45,2,12,3794.31,5,21
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2025-10,2323.15,3,10,1028.25,1,3,0.0,0,0,742.62,1,2,2152.13,3,10,6246.15,8,25
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2025-11,5079.19,3,26,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,5079.19,3,26
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2025-12,1228.63,2,8,0.0,0,0,3170.79,3,16,0.0,0,0,320.06,1,2,4719.48,6,26
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2026-01,3238.21,1,29,0.0,0,0,0.0,0,0,70.0,1,1,0.0,0,0,3308.21,2,30
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2026-02,2241.17,1,19,0.0,0,0,1616.44,1,12,0.0,0,0,0.0,0,0,3857.61,2,31
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2026-03,0.0,0,0,0.0,0,0,2113.41,2,9,0.0,0,0,0.0,0,0,2113.41,2,9
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2026-04,813.97,1,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,813.97,1,4
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,2026-10,0.0,0,0,0.0,0,0,1521.91,1,6,0.0,0,0,0.0,0,0,1521.91,1,6
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-02,3074.4,2,19,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3074.4,2,19
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-03,1523.9,1,5,2120.13,1,7,1498.8,2,6,0.0,0,0,811.24,1,4,5954.07,5,22
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-04,0.0,0,0,0.0,0,0,3843.74,2,11,556.4,1,2,1872.41,2,10,6272.55,5,23
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-05,0.0,0,0,1645.2,1,4,7541.65,1,25,0.0,0,0,0.0,0,0,9186.85,2,29
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-06,0.0,0,0,2650.14,1,10,2990.2,4,10,0.0,0,0,786.4,2,4,6426.74,7,24
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,2025-07,2545.18,3,12,2481.51,1,10,1135.66,1,4,172.52,1,1,953.59,1,4,7288.46,7,31
