listing_name,address,nickname,property_type,bedrooms,bathrooms,accommodates,active,total_revenue,total_bookings,total_nights,airbnb_total,vrbo_total,booking_com_total,direct_total
CHI - FUL- 2411C,"160 North Elizabeth Street, Chicago, Illinois 60607, United States",CHI - FUL- 2411C,Apartment,2,2.0,6,True,129896.95,63,223,42128.91,54713.21,29900.33,0.0
CHI - 411 - C-913,"West Chicago Avenue 411, Chicago, Illinois 60654, United States",CHI - 411 - C-913,Apartment,3,2.5,8,True,128472.53,56,240,58756.75,66062.82,3463.91,189.05
CHI - FUL - 802 - 3B,"160 North Elizabeth Street , Chicago, Illinois 60607, United States",CHI - FUL - 802 - 3B,Apartment,3,2.0,8,True,114711.24,80,270,83304.05,9174.22,17601.06,4631.91
DET - CPL - 705,"1145 Griswold Street, Detroit, Michigan 48226, United States",DET - CPL - 705,Apartment,2,2.0,6,True,111830.79,106,338,48765.49,25661.0,24523.34,5640.57
CHI - FUL - 901,"160 North Elizabeth Street, Chicago, Illinois 60607, United States",CHI - FUL - 901,Apartment,2,2.0,6,True,104998.8,95,341,84696.03,11242.11,8921.22,139.44
CHI - FUL - 1101,"160 North Elizabeth Street , Chicago, Illinois 60607, United States",CHI - FUL - 1101,Apartment,2,2.0,6,True,95183.02,79,323,86686.01,7252.01,1245.0,0.0
ARL - OAK 711- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 711- 2/2,Apartment,2,2.0,6,True,86726.0,60,354,33527.85,30825.04,20218.89,1610.7
CHI - FUL - 2411,"160 North Elizabeth Street, Chicago, Illinois 60607, United States",CHI - FUL - 2411,Apartment,2,2.0,6,True,81387.96,54,261,38624.72,24711.58,13286.13,4765.53
DET - CPL - 605,"Griswold Street 1145, Detroit, Michigan 48226-1901, United States",DET - CPL - 605,Apartment,2,2.0,6,True,81094.98,96,287,21147.54,31294.93,3542.03,2703.08
ARL - BAL - 1617,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1617,Apartment,2,2.0,6,True,80286.22,58,365,16346.05,27993.15,26815.69,1024.82
CHI - FUL - 501,"160 North Elizabeth Street, Chicago, Illinois 60607, United States",CHI - FUL - 501,Apartment,2,2.0,6,True,80056.03,64,295,67050.0,6454.14,5581.5,970.39
DET - CPL - 505,"Griswold Street 1145, Detroit, Michigan 48226-1901, United States",DET - CPL - 505,Apartment,2,2.0,6,True,79507.68,85,284,22145.75,24041.61,14630.21,4025.69
ARL - OAK 511- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 511- 2/2,Apartment,2,2.0,6,True,77448.61,64,309,11977.26,33121.69,25219.02,3657.88
ARL - OAK 611 - 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 611 - 2/2,Apartment,2,2.0,6,True,75064.68,57,315,10499.09,34545.61,20212.35,2724.5
CHI - POST - 613,"853 West Blackhawk Street, Chicago, Illinois 60642, United States",CHI - POST - 613,Other,4,3.0,10,True,74166.44,53,165,13815.66,56400.45,542.08,2115.53
CHA - KEN - 804 /O,"West 5th Street 425, Charlotte, North Carolina 28202, United States",CHA - KEN - 804 /O,Apartment,3,2.0,8,True,72041.09,88,344,12702.4,24137.99,20431.07,10214.75
ARL - BAL - 1514,"North Pollard Street 901, Arlington, Virginia 22203, United States",ARL - BAL - 1514,Apartment,2,2.0,6,True,71474.65,65,331,26959.79,24300.48,8727.55,1187.36
ARL - PEN2 - 1317,"1331 South Eads Street, Arlington, Virginia 22202, United States",ARL - PEN2 - 1317,Apartment,2,2.0,6,True,70079.37,66,331,30576.42,20344.42,11502.71,2658.48
CHI - POST - 605,"853 West Blackhawk Street, Chicago, Illinois 60642, United States",CHI - POST - 605,Other,4,3.0,10,True,69331.51,28,213,41432.13,21833.2,2524.91,0.0
ARL - PEN1 - 1219,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1219,Apartment,2,2.0,6,True,68952.25,64,310,6197.57,32683.82,23911.98,2221.02
ARL - OAK 403- 2/2,"Clarendon Boulevard 1550, Arlington, Virginia 22209, United States",ARL - OAK 403- 2/2,Apartment,2,2.0,6,True,67283.75,61,275,15594.43,23075.63,16553.79,4119.79
DET - DSB - 1202,"Griswold Street 1212, Detroit, Michigan 48226, United States",DET - DSB - 1202,Apartment,2,2.0,6,True,66588.52,82,234,20830.27,19094.0,4116.05,1404.64
ARL - PEN1 - 1117,"South Eads Street 1221, Arlington, Virginia 22202-4729, United States",ARL - PEN1 - 1117,Apartment,2,2.0,6,True,66322.13,61,323,17872.87,30814.62,12864.87,2587.75
BAL - ARR - 2703,"Light Street 10, Baltimore, Maryland 21202, United States",BAL - ARR - 2703,Apartment,2,1.0,6,True,65490.07,91,281,16953.4,26995.06,6431.01,927.32
ARL - PEN2 - 1017,"1331 South Eads Street, Arlington, Virginia 22202, United States",ARL - PEN2 - 1017,Apartment,2,2.0,6,True,65456.71,49,294,7985.71,31483.31,6799.86,11106.94
CHA - KEN - 604,"West 5th Street 425, Charlotte, North Carolina 28202, United States",CHA - KEN - 604,Apartment,4,2.0,8,True,64825.91,74,326,17297.22,22059.82,17343.27,2160.81
CHI - POST - 607,"853 West Blackhawk Street, Chicago, Illinois 60642, United States",CHI - POST - 607,Other,4,3.0,10,True,62447.02,30,187,32057.89,24835.56,2237.29,0.0
PIT - ARV - 609,"Liberty Avenue 400, Pittsburgh, Pennsylvania 15222, United States",PIT - ARV - 609,Apartment,2,2.0,6,True,62282.15,65,225,5634.28,28980.01,10052.62,7482.55
PIT - ARV - 1309,"Liberty Avenue 400, Pittsburgh, Pennsylvania 15222, United States",PIT - ARV - 1309,Apartment,2,2.0,6,True,61733.6,62,241,10823.9,13800.67,22835.91,7659.16
BAL - ARR - 1902,"Light Street 10, Baltimore, Maryland 21202, United States",BAL - ARR - 1902,Apartment,2,2.0,6,True,61242.46,75,309,26683.44,0.0,14764.69,232.65
BAL - ARR - 3002,"Light Street 10, Baltimore, Maryland 21202, United States",BAL - ARR - 3002,Apartment,2,2.0,6,True,60168.36,68,271,13677.34,17757.72,19930.56,2084.46
BAL - ARR - 2403,"Light Street 10, Baltimore, Maryland 21202, United States",BAL - ARR - 2403,Apartment,2,2.0,6,True,59821.33,72,249,3627.76,23205.04,25724.2,3775.22
